vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract
1G1FY6EV1V,King,Seattle,WA,98102,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,43,293095015,"{'type': 'Point', 'coordinates': [-122.32226, 47.64058]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500
1G1FY6EV3V,Klickitat,Lyle,WA,98635,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,295197920,"{'type': 'Point', 'coordinates': [-121.28544, 45.6939]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,53039950200
1G1FY6EV8V,Whatcom,Bellingham,WA,98226,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,42,290254233,"{'type': 'Point', 'coordinates': [-122.49756, 48.7999]}",PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000202
WA125BGF8V,Pierce,Gig Harbor,WA,98332,2027,AUDI,SQ6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,26,292581747,"{'type': 'Point', 'coordinates': [-122.58965, 47.34235]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072504
1G1FY6EV4V,Pierce,University Place,WA,98466,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,28,293506888,"{'type': 'Point', 'coordinates': [-122.53781, 47.23075]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072309
1G1FZ6EV0V,Snohomish,Stanwood,WA,98292,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,10,292093931,"{'type': 'Point', 'coordinates': [-122.37265, 48.24159]}",BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053302
WBS83GV00V,Snohomish,Bothell,WA,98021,2027,BMW,M5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,1,292412879,"{'type': 'Point', 'coordinates': [-122.17946, 47.80259]}",PUGET SOUND ENERGY INC,53061051916
7PD2EAAB0V,Pierce,Bonney Lake,WA,98391,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,31,297103222,"{'type': 'Point', 'coordinates': [-122.17144, 47.19175]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
1G1FZ6EV5V,King,Seattle,WA,98126,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,34,289688752,"{'type': 'Point', 'coordinates': [-122.3741, 47.54468]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601
WBS83GV05V,Whatcom,Blaine,WA,98230,2027,BMW,M5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,42,292382898,"{'type': 'Point', 'coordinates': [-122.74823, 48.99405]}",CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010405
